# Kranji hand-crafted glosses - example phrases
# Source: project-authored; no third-party licence
#
# A row is one sense of one phrase. Pins are position=reading, and exist ONLY
# where a character reads differently from the corpus principal - so every pin
# marks a place a reader would otherwise guess wrong. Position, not glyph:
# 慢慢地走 repeats 慢, and two glyph-keyed pins could not be told apart.
#
# 东西 carries two senses that are not even read alike - dongxi for the object,
# dong-xi for the directions. It is sense 1 that shows 东 = east.
# phrase	sense	english	pins
就是	0	exactly; that is	
又来了	0	here it comes again	
中间	0	the middle	
还有	0	and also; there is still	
走过	0	to walk past	
是谁	0	who is it	
蚂蚁	0	an ant	
落下	0	to fall down	
花草	0	flowers and grass	
小船	0	a little boat	
看见	0	to see	
小猫	0	a little cat	
大熊猫	0	a giant panda	
这样	0	this way; like this	
大树	0	a big tree	
不少	0	quite a few	
教室	0	a classroom	
吃饭	0	to eat a meal	
也是	0	is also	
鸭子	0	a duck	
高山	0	a high mountain	
这个	0	this one	
补一补	0	to patch it up	
画蛇	0	to draw a snake	
刻舟	0	to carve the boat	
自己	0	oneself	
脚下	0	underfoot	
而后	0	and then	
矛头	0	the point of a spear	
没有	0	to not have; there is not	
楚人	0	a man of Chu	
早上	0	in the morning	
很快	0	very fast	
尸体	0	a corpse	
宋人	0	a man of Song	
奶奶	0	grandmother	
头上	0	on the head	
太多	0	too many	
水壶	0	a kettle	
可以	0	may; can	
其中	0	among them	
儿子	0	a son	
做人	0	to conduct oneself	
你们	0	you (more than one)	
两个	0	two of them	
白鹅	0	a white goose	
食物	0	food	
大风	0	a strong wind	
进来	0	to come in	
河边	0	the riverside	
跑开	0	to run off	
不能	0	cannot	
作者	0	the author	
笑话	0	a joke	
竹子	0	bamboo	
碰到	0	to bump into	
眼睛	0	an eye	
白色	0	white	
河水	0	river water	
沙子	0	sand	
江边	0	the riverside	
死了	0	has died	
树桩	0	a tree stump	
守株	0	to guard the stump	
最好	0	best	
明天	0	tomorrow	
施行	0	to put into practice	
找到	0	to find	
手上	0	in the hand	
成为	0	to become	
很慢	0	very slow	
怎么	0	how; in what way	
打开	0	to open	
城市	0	a city	
已经	0	already	
回家	0	to go home	
她的	0	hers	
农夫	0	a farmer	
大声	0	loudly	
坐下	0	to sit down	
回来	0	to come back	
怎么呢	0	how so	
后来	0	afterwards	
刺穿	0	to pierce through	
几个	0	a few of them	
再来	0	to come again	
身体	0	the body	
住在	0	to live at	
举手	0	to raise a hand	
黑色	0	black	
下雨	0	to rain	
问题	0	a question	
闪开	0	to dodge aside	
长大	0	to grow up	
释放	0	to set free	
邻居	0	a neighbour	
身上	0	on the body	
谢谢	0	thank you	
试试	0	to give it a try	
记住	0	to remember	
触碰	0	to touch	
视线	0	a line of sight	
行走	0	to walk	
青草	0	green grass	
绿色	0	green	
给你	0	for you	
一粒米	0	one grain of rice	
穿上	0	to put on	
知道	0	to know	
直接	0	direct; straight	
有用	0	useful	
形状	0	a shape	
添上	0	to add on	
流水	0	running water	
求剑	0	to look for the sword	
生气	0	to get angry	
羊毛	0	wool	
每天	0	every day	
唱歌	0	to sing	
月光	0	moonlight	
更好	0	even better	
春天	0	spring	
星星	0	a star	
日子	0	a day; days	
前方	0	ahead	
拿走	0	to take away	
擦拭	0	to wipe clean	
刚才	0	just now	
帮忙	0	to help	
做完	0	to finish doing	
学习	0	to study	
开始	0	to begin	
契约	0	an agreement	
夜里	0	at night	
复习	0	to revise	
到处	0	everywhere	
坠下	0	to fall down	
羊圈	0	a sheep pen	1=juan4
圆圈	0	a circle	
牢固	0	firm; solid	
和气	0	gentle; friendly	
记号	0	a mark	
叫做	0	to be called	
开口	0	to open one's mouth	
变成	0	to turn into	
原来	0	it turns out; originally	
中午	0	midday	
千万	0	ten million; by all means	
凉水	0	cool water	
冰水	0	iced water	
高兴	0	glad	
入门	0	to get started	
先生	0	a gentleman; a teacher	
好像	0	to seem like	
时候	0	a time	
使用	0	to use	
今年	0	this year	
五个	0	five of them	
故事	0	a story	
之后	0	after that	
三个	0	three of them	
黄色	0	yellow	
早餐	0	breakfast	
飞走	0	to fly away	
长颈	0	a long neck	0=chang2
项目	0	an item	
靠近	0	to draw near	
露水	0	dew	
白霜	0	white frost	
院子	0	a courtyard	
太阳	0	the sun	
闻到	0	to catch a smell of	
空闲	0	free time	
开门	0	to open the door	
长长	0	very long	0=chang2 1=chang2
镜子	0	a mirror	
锋利	0	sharp	
锄头	0	a hoe	
钻进	0	to bore into	
野草	0	wild grass	
很重	0	very heavy	
遽然	0	all of a sudden	
逝去	0	to pass away	
很远	0	very far	
辛苦	0	hard work; toilsome	
轻轻	0	gently	
路上	0	on the road	
赶走	0	to drive away	
请进	0	please come in	
古诗	0	an old poem	
认识	0	to know someone	
发誓	0	to swear an oath	
牛角	0	an ox horn	
觉得	0	to feel	
睡觉	0	to sleep	1=jiao4
要是	0	if	
装水	0	to fill with water	
街上	0	in the street	
一行	0	a row	1=hang2
道行	0	a monk's attainment	1=heng2
圈养	0	to raise penned in	0=juan1
荒地	0	waste ground	
若干	0	a certain number	1=gan1
掉色	0	to lose colour	1=shai3
弯腰	0	to bend at the waist	
背后	0	behind	
背书包	0	to carry a schoolbag	0=bei1
耕田	0	to plough a field	
耒耜	0	an old plough	
一群	0	a flock	
结果	0	a result	
结实	0	sturdy	0=jie1
红色	0	red	
很累	0	very tired	
累赘	0	a burden	0=lei2
积累	0	to build up	1=lei3
天空	0	the sky	
有空	0	to have free time	1=kong4
穷人	0	a poor person	
种子	0	a seed	
种田	0	to farm	0=zhong4
种师道	0	Zhong Shidao, a Song general	0=chong2
很硬	0	very hard	
破了	0	has broken	
晚矣	0	it is too late	
弓矢	0	a bow and arrow	
睡着	0	to fall asleep	
安眠	0	to sleep peacefully	
目光	0	a gaze	
盘子	0	a plate	
皆是	0	all are	
疑心	0	suspicion	
留下	0	to stay behind	
玩水	0	to play in the water	
野狼	0	a wild wolf	
爱心	0	a loving heart	
烧水	0	to boil water	
很滑	0	very slippery	
湿了	0	has got wet	
清水	0	clear water	
液体	0	a liquid	
涉水	0	to wade through water	
大海	0	the sea	
浮起	0	to float up	
浇水	0	to water plants	
水波	0	a ripple	
汽水	0	a fizzy drink	
出汗	0	to sweat	
比一比	0	to compare	
因此	0	for this reason	
止住	0	to bring to a stop	
欲言	0	about to speak	
楼上	0	upstairs	
一棵树	0	one tree	
小桥	0	a little bridge	
学校	0	a school	
枯木	0	a withered tree	
一杯水	0	a cup of water	
一本书	0	one book	
看望	0	to visit	
弯曲	0	bent	
子曰	0	the Master said	
春晓	0	a spring dawn	
旁边	0	beside	
整个	0	the whole of	
改正	0	to put right	
收好	0	to put away safely	
撞上	0	to run into	
搬走	0	to move away	
接住	0	to catch	
一排	0	a row	
手掌	0	the palm of a hand	
捡起	0	to pick up	
拾起	0	to gather up	
拨开	0	to push aside	
拔苗	0	to pull up a sprout	
抬头	0	to raise the head	
折了	0	has snapped	
慌张	0	flustered	
迷惑	0	puzzled	
后悔	0	to regret	
有恃	0	to have something to rely on	
思念	0	to miss someone	
小心	0	careful	
往前	0	forwards	
一张纸	0	one sheet of paper	
上床	0	to go to bed	
平安	0	safe and well	
常常	0	often	
左手	0	the left hand	
河岸	0	a riverbank	
三岁	0	three years old	
屋子	0	a room	
一层	0	one layer	
尽量	0	as much as one can	
尽头	0	the far end	0=jin4
客人	0	a guest	
实在	0	really; solid	
孩子	0	a child	
嫌少	0	to think it too little	
不够	0	not enough	
外面	0	outside	
士人	0	a scholar	
坚固	0	solid and firm	
四周围	0	all around	
花园	0	a garden	
因为	0	because	
四个	0	four of them	
张嘴	0	to open the mouth	
嗜好	0	a fondness	
啼哭	0	to cry out	
四周	0	all around	
吾人	0	we; I	
吹风	0	to be in the wind	
走吧	0	let us go	
酒吧	0	a bar	1=ba1
向前	0	forwards	
叶子	0	a leaf	
叶韵	0	to rhyme	0=xie2
右手	0	the right hand	
只有	0	only	
另外	0	besides	
发现	0	to discover	
头发	0	hair	1=fa4
南方	0	the south	
南无	0	a Buddhist invocation	0=na1 1=mo2
卖出	0	to sell off	
书包	0	a schoolbag	
势力	0	power	
力气	0	physical strength	
一副	0	a set of	
出来	0	to come out	
很冷	0	very cold	
冀求	0	to hope for	
养分	0	nourishment	
关门	0	to shut the door	
全部	0	the whole lot	
一倍	0	twice as much	
依山	0	to lean against the hills	
侍立	0	to stand in attendance	
天亮	0	daybreak	
亦然	0	so it is too	
于是	0	and so	
二月	0	February	
故乡	0	one's home village	
不亦乐乎	0	is that not a joy	
为人	0	to conduct oneself	0=wei2
世上	0	in the world	
七个	0	seven of them	
过分	0	excessive	1=fen4
一世	0	a lifetime	
一刻	0	a moment	
一周	0	one week	
一家人	0	one family	
一对	0	a pair	
一株树	0	one tree	
丈夫	0	a husband	
三点	0	three o'clock	
下车	0	to get off a vehicle	
不行	0	will not do	
丢掉	0	to throw away	
书写	0	to write	
人才	0	a talented person	
低声	0	in a low voice	
住所	0	a dwelling	
你和我	0	you and I	
光头	0	a bare head	
关心	0	to care about	
几天	0	a few days	
出产	0	to produce	
出现	0	to appear	
分开	0	to separate	
利益	0	a benefit	
包住	0	to wrap up	
原因	0	a cause	
发出	0	to send out	
发芽	0	to sprout	
号码	0	a number	
听闻	0	to hear of	
图画	0	a picture	
对着	0	facing	
居住	0	to dwell	
市场	0	a market	
希望	0	to hope	
平原	0	a plain	
平地	0	level ground	
当时	0	at that time	
很早	0	very early	
思考	0	to think over	
想要	0	to want	
成事	0	to get something done	
房间	0	a room	
所见	0	what one sees	
把住	0	to hold firmly	
把门关上	0	shut the door	
折纸	0	to fold paper	
掌管	0	to be in charge of	
排好	0	to arrange in order	
故此	0	for this reason	
整理	0	to tidy up	
方形	0	a square shape	
日光	0	sunlight	
明月	0	a bright moon	
根本	0	the root of it	
死水	0	still water	
比你高	0	taller than you	
河流	0	a river	
滑下	0	to slide down	
滴水	0	to drip water	
牛奶	0	cow's milk	
画像	0	a portrait	
留住	0	to keep hold of	
知晓	0	to know	
种类	0	a kind	
空气	0	air	
空白	0	a blank	
穿过	0	to pass through	
等级	0	a grade	
米饭	0	cooked rice	
经过	0	to pass by	
考试	0	an examination	
背上	0	on the back	
自古	0	since ancient times	
苦水	0	bitter water	
装作	0	to pretend	
见面	0	to meet	
角落	0	a corner	
解释	0	to explain	
记下	0	to write down	
请客	0	to treat someone	
赶快	0	to hurry up	
跟从	0	to follow	
进食	0	to take food	
重要	0	important	
野外	0	the open country	
锄地	0	to hoe the ground	
长者	0	an elder	
闪光	0	a flash of light	
露出	0	to show	
面前	0	in front of	
顶着	0	carrying on the head	
颈项	0	the neck	
鱼刺	0	a fish bone	
黑点	0	a black dot	
两旁	0	on both sides	
乡下	0	the countryside	
依次	0	in order	
兴趣	0	an interest	
农田	0	farmland	
副手	0	an assistant	
又高又大	0	both tall and big	
反复	0	over and over	
契刻	0	to carve	
完全	0	completely	
小时	0	an hour	
屋里	0	in the room	
平常	0	ordinary	
往来	0	to come and go	
很忙	0	very busy	
很轻	0	very light	
急忙	0	in a hurry	
惑人	0	to mislead people	
打破	0	to break	
打结	0	to tie a knot	
方向	0	a direction	
无穷	0	without end	
楼层	0	a floor of a building	
欲求	0	to desire	
然而	0	and yet	
状态	0	a state	
用尽	0	to use up	1=jin4
盘起	0	to coil up	
眼镜	0	spectacles	
笔直	0	perfectly straight	
等候	0	to wait for	
结绳	0	to tie a cord	
花样	0	a variety	
荒山	0	a barren hill	
誓言	0	an oath	
走势	0	a trend	
还在	0	is still there	
适合	0	to suit	
门口	0	a doorway	
阳光	0	sunshine	
高楼	0	a tall building	
月氏	0	the Yuezhi, an ancient people	1=zhi1
刀把	0	a knife handle	1=ba4
刺猬	0	a hedgehog	
忒好	0	far too good	
模型	0	a model	
模子	0	a mould	0=mu2
骨头	0	a bone	
骨碌	0	to roll along	0=gu1
喝彩	0	to cheer	0=he4
商贾	0	merchants	1=gu3
贾岛	0	Jia Dao, a Tang poet	
抢走	0	to snatch away	
呼天抢地	0	to cry out in grief	2=qiang1
岷山	0	Mount Min	
饸饹	0	a buckwheat noodle dish	
泥土	0	earth, soil	
拘泥	0	to be a stickler	1=ni4
约会	0	an appointment	
约一斤	0	to weigh out half a kilo	0=yao1
汽车	0	a car	
车马炮	0	chariot, horse and cannon - the chess pieces	0=ju1
别的	0	other; something else	
别动	0	don't move	
告别	0	to say goodbye	
别扭	0	awkward; uncomfortable	0=bie4
相同	0	the same	
一同	0	together	
胡同	0	a lane; an alley	1=tong4
读书	0	to read; to study	
句读	0	the pauses that punctuate a classical text	1=dou4
打人	0	to hit someone	
打球	0	to play ball	
打电话	0	to make a phone call	
一打	0	a dozen	1=da2
无人	0	nobody; with no one there	
数字	0	a number; a digit	
数学	0	mathematics	
数一数	0	to count them up	0=shu3 2=shu3
数见不鲜	0	seen so often it is nothing new	0=shuo4
互相	0	each other	
相片	0	a photograph	0=xiang4
照相	0	to take a photograph	1=xiang4
长相	0	looks; appearance	1=xiang4
句子	0	a sentence	
句践	0	Goujian, a king of Yue	0=gou1
正确	0	correct	
正在	0	in the middle of doing	
正月	0	the first month of the lunar year	0=zheng1
一万	0	ten thousand	
万俟	0	Moqi, a surname	0=mo4
哪个	0	which one	
哪里	0	where	
天哪	0	heavens!	1=na0
哪吒	0	Nezha, the boy god	0=ne2
合上	0	to close (a book, a lid)	
合作	0	to work together	
一合米	0	a ge of rice - an old measure	1=ge3
子弹	0	a bullet	
炸弹	0	a bomb	
弹琴	0	to play a stringed instrument	0=tan2
弹跳	0	to bounce; to spring	0=tan2
一片	0	a slice; a stretch of	
卡片	0	a card	
片子	0	a film; a disc	0=pian1
广场	0	a square	
操场	0	a playground; a sports ground	
一场雨	0	a fall of rain	1=chang2
干活	0	to do work	
树干	0	a tree trunk	
干净	0	clean	0=gan1
干燥	0	dry	0=gan1
拉开	0	to pull open	
拉手	0	to hold hands; a handle	
拉二胡	0	to play the erhu	
拉口子	0	to cut a gash	0=la2
通过	0	to pass through; by means of	
交通	0	traffic	
精通	0	to know thoroughly; to master	
说了一通	0	gave a long talking-to	3=tong4
困难	0	difficulty; hard	
难看	0	ugly	
灾难	0	a disaster	1=nan4
难民	0	a refugee	0=nan4
温度	0	temperature	
度过	0	to spend; to get through (a time)	
忖度	0	to size up; to guess at	1=duo2
朝代	0	a dynasty	
唐朝	0	the Tang dynasty	
朝着	0	towards	
朝阳	0	the morning sun	0=zhao1
朝霞	0	the glow of sunrise	0=zhao1
倒水	0	to pour water	
倒立	0	a handstand	
倒是	0	actually; on the contrary	
摔倒	0	to fall down	1=dao3
倒下	0	to fall over	0=dao3
好吗	0	all right?	
是吗	0	really?	
干吗	0	what for; why	1=ma2
吗啡	0	morphine	0=ma3
差一点	0	almost; nearly	
差劲	0	poor; no good	
差别	0	a difference	0=cha1
差距	0	a gap	0=cha1
出差	0	to go on a business trip	1=chai1
邮差	0	a postman	1=chai1
参差	0	uneven; irregular	0=cen1 1=ci1
传说	0	a legend	
传给	0	to pass to	
传记	0	a biography	0=zhuan4
水浒传	0	Water Margin, the novel	2=zhuan4
作业	0	homework	
作坊	0	a workshop	0=zuo1 1=fang2
方便	0	convenient	
便利	0	convenient; a convenience	
便是	0	is precisely; then	
便宜	0	cheap	0=pian2
冲进去	0	to rush in	
冲锋	0	to charge	
冲水	0	to flush; to rinse	
冲茶	0	to brew tea	
冲着	0	towards; because of	0=chong4
衣服	0	clothes	
校服	0	a school uniform	
佩服	0	to admire	
服从	0	to obey	
一服药	0	a dose of medicine	1=fu4
洗手	0	to wash one's hands	
洗澡	0	to bathe	
洗夫人	0	Lady Xian, a Sui-dynasty leader	0=xian3
省份	0	a province	
节省	0	to save; economical	
反省	0	to reflect on oneself	1=xing3
省亲	0	to visit one's parents	0=xing3
压力	0	pressure	
压住	0	to hold down	
压根	0	at all; from the very start	0=ya4
挡住	0	to block	
阻挡	0	to obstruct	
摒挡	0	to put in order	1=dang4
担水	0	to carry water on a pole	
担心	0	to worry	
承担	0	to bear; to undertake	
重担	0	a heavy burden	1=dan4
担子	0	a load; a burden	0=dan4
春节	0	Spring Festival	
节日	0	a festival	
关节	0	a joint	
节约	0	to economise	
节骨眼	0	the critical moment	0=jie1 1=gu1
贝壳	0	a seashell	
蛋壳	0	an eggshell	
地壳	0	the earth's crust	0=di4 1=qiao4
甲壳	0	a carapace	1=qiao4
尺子	0	a ruler	
三尺	0	three chi	
工尺	0	the old musical notation	1=che3
转身	0	to turn around	
转弯	0	to turn a corner	
转告	0	to pass a message on	
旋转	0	to spin; to rotate	1=zhuan4
转圈	0	to go round in circles	0=zhuan4
亲人	0	a family member	
母亲	0	mother	
亲吻	0	to kiss	
亲家	0	relatives by marriage	0=qing4
单独	0	alone; on one's own	
名单	0	a list of names	
菜单	0	a menu	
简单	0	simple	
单于	0	the Xiongnu ruler	0=chan2
单县	0	Shan County, in Shandong	0=shan4
奔跑	0	to run	
奔腾	0	to gallop; to surge	
奔向	0	to head towards	0=ben4
投奔	0	to go to someone for shelter	1=ben4
扁平	0	flat	
压扁	0	to squash flat	
扁舟	0	a small boat	0=pian1
磨刀	0	to sharpen a knife	
磨损	0	to wear down	
磨蹭	0	to dawdle	
石磨	0	a stone mill	1=mo4
磨坊	0	a mill	0=mo4 1=fang2
肚子	0	the belly	
肚脐	0	the navel	
猪肚	0	pig tripe	1=du3
牛肚	0	beef tripe	1=du3
乌龟	0	a tortoise	
龟壳	0	a tortoise shell	
龟裂	0	to crack; chapped	0=jun1
龟兹	0	Qiuci, an ancient kingdom	0=qiu1 1=ci2
刷牙	0	to brush one's teeth	
牙刷	0	a toothbrush	
刷卡	0	to swipe a card	
刷白	0	pale; white in the face	0=shua4
卷起	0	to roll up	
春卷	0	a spring roll	
试卷	0	an exam paper	1=juan4
第一卷	0	volume one	2=juan4
舞台	0	a stage	
一台电脑	0	one computer	
天台	0	Tiantai, a mountain	1=tai1
成员	0	a member	
演员	0	an actor	
员工	0	staff; an employee	
员半千	0	Yuan Banqian, a Tang official	0=yun4
应该	0	should	
应当	0	ought to	
答应	0	to agree; to answer	1=ying4
反应	0	a reaction; a response	1=ying4
应付	0	to cope with; to deal with	0=ying4
荷花	0	a lotus flower	
荷叶	0	a lotus leaf	
负荷	0	a load	1=he4
荷枪	0	to shoulder a rifle	0=he4
相似	0	similar	
似乎	0	it seems	
似的	0	like; as if	0=shi4
将来	0	the future	
即将	0	about to	
将近	0	nearly; close to	
将军	0	a general	0=jiang4
大将	0	a great general	1=jiang4
尾巴	0	a tail	
结尾	0	the ending	
马尾	0	a ponytail	1=yi3
摩擦	0	friction; to rub	
按摩	0	a massage	
摩挲	0	to stroke gently	0=ma1
散步	0	to take a walk	
分散	0	to disperse	
解散	0	to dismiss; to break up	
散文	0	prose	0=san3
松散	0	loose	1=san3
燕子	0	a swallow	
海燕	0	a petrel	
燕国	0	the state of Yan	0=yan1
燕山	0	the Yan Mountains	0=yan1
称为	0	to be called	1=wei2
名称	0	a name	
称重	0	to weigh	
称赞	0	to praise	
称心	0	satisfactory; to one's liking	0=chen4
对称	0	symmetrical	1=chen4
细菌	0	bacteria	
真菌	0	a fungus	
菌子	0	a mushroom	0=jun4
香菌	0	a shiitake mushroom	1=jun4
与其	0	rather than	
与众不同	0	out of the ordinary	
赠与	0	to give; to bestow	
参与	0	to take part in	1=yu4
打中	0	to hit the target	1=zhong4
中奖	0	to win a prize	0=zhong4
亲切	0	warm; kind	
密切	0	close	
一切	0	everything; all	
切菜	0	to cut vegetables	0=qie1
切断	0	to cut off	0=qie1
奇怪	0	strange	
好奇	0	curious	0=hao4
奇数	0	an odd number	0=ji1
屏幕	0	a screen	
屏风	0	a folding screen	
屏住	0	to hold (one's breath)	0=bing3
屏息	0	to hold one's breath	0=bing3
挑选	0	to choose	
挑食	0	to be picky about food	
挑水	0	to carry water on a pole	
挑战	0	a challenge	0=tiao3
挑衅	0	to provoke	0=tiao3
横线	0	a horizontal line	
横过	0	to cross	
蛮横	0	overbearing	1=heng4
横财	0	a windfall	0=heng4
泡沫	0	foam; bubbles	
泡茶	0	to brew tea	
眼泡	0	puffy eyelids	1=pao1
泡桐	0	the paulownia tree	0=pao1
豆浆	0	soy milk	
泥浆	0	mud; slurry	
浆洗	0	to wash and starch	0=jiang4
成熟	0	mature; ripe	
熟悉	0	familiar	
饭熟了	0	the rice is done	1=shou2
系统	0	a system	
关系	0	a relationship	
联系	0	to contact; a connection	
系鞋带	0	to tie shoelaces	0=ji4
系上	0	to fasten	0=ji4
裂缝	0	a crack	
门缝	0	the crack of a door	
缝衣服	0	to sew clothes	0=feng2
缝补	0	to mend	0=feng2
葛藤	0	the kudzu vine	
诸葛亮	0	Zhuge Liang, the strategist	1=ge3
躲藏	0	to hide	
收藏	0	to collect	
西藏	0	Tibet	1=zang4
宝藏	0	a treasure trove	1=zang4
血液	0	blood	
流血	0	to bleed	
流血了	0	bleeding	1=xie3
鸡血	0	chicken blood	1=xie3
解开	0	to untie	
了解	0	to understand	0=liao3
押解	0	to escort a prisoner	1=jie4
解数	0	skill; tricks	0=xie4
新郎	0	a bridegroom	
郎中	0	a physician, in old usage	
屎壳郎	0	the dung beetle	2=lang4
麻雀	0	a sparrow	
孔雀	0	a peacock	
雀子	0	freckles	0=qiao1
家雀	0	a sparrow, colloquially	1=qiao3
命令	0	an order	
令人	0	to make one (feel)	
令尊	0	your father, honorific	
令狐	0	Linghu, a surname	0=ling2
一令纸	0	a ream of paper	1=ling3
埋葬	0	to bury	
埋伏	0	an ambush	
埋怨	0	to complain about; to blame	0=man2
扇子	0	a fan	
一扇门	0	a door	
扇风	0	to fan	0=shan1
扇动	0	to flap; to stir up	0=shan1
扫地	0	to sweep the floor	1=di4
打扫	0	to clean up	
扫帚	0	a broom	0=sao4
提起	0	to lift; to mention	
提高	0	to raise	
提问	0	to ask a question	
提防	0	to guard against	0=di1
曾经	0	once; at one time	
未曾	0	never yet	
曾孙	0	a great-grandson	0=zeng1
曾祖	0	a great-grandfather	0=zeng1
胖子	0	a fat person	
发胖	0	to put on weight	
心广体胖	0	at ease in mind and stout in body	3=pan2
蒙住	0	to cover up	
启蒙	0	to enlighten; first lessons	
蒙人	0	to fool someone	0=meng1
蒙对了	0	guessed right	0=meng1
蒙古	0	Mongolia	0=meng3
内蒙古	0	Inner Mongolia	1=meng3
数量	0	quantity	
测量	0	to measure; to survey	1=liang2
量体温	0	to take a temperature	0=liang2
使劲	0	to exert oneself	
干劲	0	drive; enthusiasm	
劲敌	0	a formidable rival	0=jing4
强劲	0	strong; powerful	1=jing4
吐痰	0	to spit	
谈吐	0	one's way of speaking	
呕吐	0	to vomit	1=tu4
吐了	0	threw up	0=tu4
塞住	0	to stop up	
瓶塞	0	a bottle stopper	
边塞	0	a frontier	1=sai4
塞外	0	beyond the Great Wall	0=sai4
堵塞	0	to block; a blockage	1=se4
闭塞	0	blocked; cut off	1=se4
并且	0	and; moreover	
合并	0	to merge	
并不	0	not at all	
并州	0	Bingzhou, an ancient region	0=bing1
教育	0	education	
佛教	0	Buddhism	0=fo2
教书	0	to teach in a school	0=jiao1
教你	0	to teach you	0=jiao1
学期	0	a term; a semester	
期待	0	to look forward to	
期年	0	a full year	0=ji1
核心	0	the core	
核桃	0	a walnut	
杏核	0	an apricot stone	1=hu2
枣核	0	a date stone	1=hu2
爆炸	0	an explosion	
炸鸡	0	fried chicken	0=zha2
油炸	0	deep-fried	1=zha2
盖子	0	a lid	
盖房子	0	to build a house	
盖聂	0	Ge Nie, a swordsman of the Warring States	0=ge3
茂盛	0	lush; flourishing	
盛大	0	grand	
盛饭	0	to serve rice	0=cheng2
盛水	0	to hold water	0=cheng2
翅膀	0	a wing	
膀子	0	an arm; a shoulder	
膀肿	0	swollen	0=pang1
膀胱	0	the bladder	0=pang2
青苔	0	moss	
苔藓	0	moss; lichen	
舌苔	0	the coating on the tongue	1=tai1
采花	0	to pick flowers	
采集	0	to collect; to gather	
神采	0	expression; spirit	
采地	0	a fief	0=cai4 1=di4
铝合金	0	aluminium alloy	
铝锅	0	an aluminium pot	
价格	0	a price	
价值	0	value	
震天价响	0	deafeningly loud	2=jie0
创造	0	to create	
创新	0	to innovate	
创伤	0	a wound; trauma	0=chuang1
创口	0	a wound; a cut	0=chuang1
中华	0	China	
华丽	0	gorgeous	
华山	0	Mount Hua	0=hua4
华佗	0	Hua Tuo, the physician	0=hua4
卡车	0	a truck	
卡住	0	to get stuck	0=qia3
发卡	0	a hair clip	0=fa4 1=qia3
吓人	0	frightening	
吓一跳	0	to be startled	
恐吓	0	to threaten	1=he4
恫吓	0	to intimidate	1=he4
呱呱坠地	0	to be born	3=di4
呱呱叫	0	top-notch; croaking	0=gua1 1=gua1
好啊	0	good!; all right!	
啊	0	(softening the end of a sentence)	
啊	1	ah! (surprise, admiration)	0=a1
啊	2	what? (asking again)	0=a2
啊	3	huh? (doubt)	0=a3
啊	4	oh; right (realisation)	0=a4
嘎嘎	0	quack quack	
嘎调	0	a high note in Peking opera	0=ga2
嘎子	0	a mischievous kid, in the north	0=ga3
攒钱	0	to save money	
积攒	0	to accumulate	
攒聚	0	to gather together	0=cuan2
攒动	0	to move in a crowd	0=cuan2
歌曲	0	a song	1=qu3
曲子	0	a tune	0=qu3
检查	0	to check	
查字典	0	to look up in a dictionary	
查良镛	0	Zha Liangyong - Jin Yong, the novelist	0=zha1
